Timestamp,BR,RtoR
03/04/2023 10:15:35.380,808,0
03/04/2023 10:15:35.436,808,0
03/04/2023 10:15:35.492,809,0
03/04/2023 10:15:35.548,949,0
03/04/2023 10:15:35.604,1732,0
03/04/2023 10:15:35.660,1816,0
03/04/2023 10:15:35.716,1848,0
03/04/2023 10:15:35.772,1866,0
03/04/2023 10:15:35.828,1868,0
03/04/2023 10:15:35.884,1867,0
03/04/2023 10:15:35.940,1867,0
03/04/2023 10:15:35.996,1866,0
03/04/2023 10:15:36.052,1404,-11.921
03/04/2023 10:15:36.108,1105,-11.921
03/04/2023 10:15:36.164,845,-11.921
03/04/2023 10:15:36.220,818,-11.921
03/04/2023 10:15:36.276,810,-11.921
03/04/2023 10:15:36.332,808,-11.921
03/04/2023 10:15:36.388,808,-11.921
03/04/2023 10:15:36.444,810,-11.921
03/04/2023 10:15:36.500,947,-11.921
03/04/2023 10:15:36.556,1514,-11.921
03/04/2023 10:15:36.612,1824,-11.921
03/04/2023 10:15:36.668,1858,-11.921
03/04/2023 10:15:36.724,1877,-11.921
03/04/2023 10:15:36.780,1879,-11.921
03/04/2023 10:15:36.836,1880,-11.921
03/04/2023 10:15:36.892,1879,-11.921
03/04/2023 10:15:36.948,1879,-11.921
03/04/2023 10:15:37.004,1418,0.831
03/04/2023 10:15:37.060,1111,0.831
03/04/2023 10:15:37.116,929,0.831
03/04/2023 10:15:37.172,821,0.831
03/04/2023 10:15:37.228,812,0.831
03/04/2023 10:15:37.284,810,0.831
03/04/2023 10:15:37.340,811,0.831
03/04/2023 10:15:37.396,812,0.831
03/04/2023 10:15:37.452,953,0.831
03/04/2023 10:15:37.508,1536,0.831
03/04/2023 10:15:37.564,1856,0.831
03/04/2023 10:15:37.620,1894,0.831
03/04/2023 10:15:37.676,1907,0.831
03/04/2023 10:15:37.732,1903,0.831
03/04/2023 10:15:37.788,1900,-0.817
03/04/2023 10:15:37.844,1897,-0.817
03/04/2023 10:15:37.900,1894,-0.817
03/04/2023 10:15:37.956,1824,-0.817
03/04/2023 10:15:38.012,1119,-0.817
03/04/2023 10:15:38.068,930,-0.817
03/04/2023 10:15:38.124,820,-0.817
03/04/2023 10:15:38.180,810,-0.817
03/04/2023 10:15:38.236,808,-0.817
03/04/2023 10:15:38.292,808,-0.817
03/04/2023 10:15:38.348,809,-0.817
03/04/2023 10:15:38.404,943,-0.817
03/04/2023 10:15:38.460,1503,-0.817
03/04/2023 10:15:38.516,1720,-0.817
03/04/2023 10:15:38.572,1830,-0.817
03/04/2023 10:15:38.628,1840,-0.817
03/04/2023 10:15:38.684,1846,-0.817
03/04/2023 10:15:38.740,1844,-0.817
03/04/2023 10:15:38.796,1840,-0.817
03/04/2023 10:15:38.852,1824,-0.817
03/04/2023 10:15:38.908,1753,-0.817
03/04/2023 10:15:38.964,1080,-0.817
03/04/2023 10:15:39.020,908,-0.817
03/04/2023 10:15:39.076,835,-0.817
03/04/2023 10:15:39.132,804,-0.817
03/04/2023 10:15:39.188,802,-0.817
03/04/2023 10:15:39.244,803,-0.817
03/04/2023 10:15:39.300,803,-0.817
03/04/2023 10:15:39.356,804,-0.817
03/04/2023 10:15:39.412,1475,-0.817
03/04/2023 10:15:39.468,1686,-0.817
03/04/2023 10:15:39.524,1796,-0.817
03/04/2023 10:15:39.580,1808,-0.817
03/04/2023 10:15:39.636,1815,-0.817
03/04/2023 10:15:39.692,1816,-0.817
03/04/2023 10:15:39.748,1814,2.126
03/04/2023 10:15:39.804,1810,2.126
03/04/2023 10:15:39.860,1746,2.126
03/04/2023 10:15:39.916,1367,2.126
03/04/2023 10:15:39.972,906,2.126
03/04/2023 10:15:40.028,835,2.126
03/04/2023 10:15:40.084,805,2.126
03/04/2023 10:15:40.140,803,2.126
03/04/2023 10:15:40.196,803,2.126
03/04/2023 10:15:40.252,805,2.126
03/04/2023 10:15:40.308,806,2.126
03/04/2023 10:15:40.364,1488,2.126
03/04/2023 10:15:40.420,1702,2.126
03/04/2023 10:15:40.476,1783,2.126
03/04/2023 10:15:40.532,1825,2.126
03/04/2023 10:15:40.588,1829,2.126
03/04/2023 10:15:40.644,1830,2.126
03/04/2023 10:15:40.700,1830,2.126
03/04/2023 10:15:40.756,1829,2.126
03/04/2023 10:15:40.812,1762,2.126
03/04/2023 10:15:40.868,1378,2.126
03/04/2023 10:15:40.924,910,2.126
03/04/2023 10:15:40.980,838,2.126
03/04/2023 10:15:41.036,813,2.126
03/04/2023 10:15:41.092,805,2.126
03/04/2023 10:15:41.148,805,2.126
03/04/2023 10:15:41.204,806,2.126
03/04/2023 10:15:41.260,807,2.126
03/04/2023 10:15:41.316,940,2.126
03/04/2023 10:15:41.372,1708,2.126
03/04/2023 10:15:41.428,1790,2.126
03/04/2023 10:15:41.484,1833,2.126
03/04/2023 10:15:41.540,1837,2.126
03/04/2023 10:15:41.596,1838,2.126
03/04/2023 10:15:41.652,1837,2.126
03/04/2023 10:15:41.708,1834,2.126
03/04/2023 10:15:41.764,1761,2.126
03/04/2023 10:15:41.820,1379,2.126
03/04/2023 10:15:41.876,1084,2.126
03/04/2023 10:15:41.932,837,2.126
03/04/2023 10:15:41.988,812,2.126
03/04/2023 10:15:42.044,802,2.126
03/04/2023 10:15:42.100,803,2.126
03/04/2023 10:15:42.156,803,2.126
03/04/2023 10:15:42.212,804,2.126
03/04/2023 10:15:42.268,932,2.126
03/04/2023 10:15:42.324,1667,2.126
03/04/2023 10:15:42.380,1741,2.126
03/04/2023 10:15:42.436,1767,2.126
03/04/2023 10:15:42.492,1773,2.126
03/04/2023 10:15:42.548,1769,2.126
03/04/2023 10:15:42.604,1762,2.126
03/04/2023 10:15:42.660,1758,2.126
03/04/2023 10:15:42.716,1754,2.126
03/04/2023 10:15:42.772,1747,-2.992
03/04/2023 10:15:42.828,1744,-2.992
03/04/2023 10:15:42.884,1738,-2.992
03/04/2023 10:15:42.940,1736,-2.992
03/04/2023 10:15:42.996,1733,-2.992
03/04/2023 10:15:43.052,1728,-2.992
03/04/2023 10:15:43.108,1726,-2.992
03/04/2023 10:15:43.164,1724,-2.992
03/04/2023 10:15:43.220,1722,-2.992
03/04/2023 10:15:43.276,1721,-2.992
03/04/2023 10:15:43.332,1719,-2.992
03/04/2023 10:15:43.388,1718,-2.992
03/04/2023 10:15:43.444,1717,-2.992
03/04/2023 10:15:43.500,1718,0.761
03/04/2023 10:15:43.556,1721,0.761
03/04/2023 10:15:43.612,1727,0.761
03/04/2023 10:15:43.668,1734,0.761
03/04/2023 10:15:43.724,1742,0.761
03/04/2023 10:15:43.780,1745,0.761
03/04/2023 10:15:43.836,1746,0.761
03/04/2023 10:15:43.892,1741,0.761
03/04/2023 10:15:43.948,1738,0.761
03/04/2023 10:15:44.004,1738,0.761
03/04/2023 10:15:44.060,1739,0.761
03/04/2023 10:15:44.116,1739,0.761
03/04/2023 10:15:44.172,1741,0.761
03/04/2023 10:15:44.228,1743,0.761
03/04/2023 10:15:44.284,1742,0.761
03/04/2023 10:15:44.340,1739,0.761
03/04/2023 10:15:44.396,1737,0.761
03/04/2023 10:15:44.452,1737,0.761
03/04/2023 10:15:44.508,1731,-0.787
03/04/2023 10:15:44.564,1735,-0.787
03/04/2023 10:15:44.620,1737,-0.787
03/04/2023 10:15:44.676,1738,-0.787
03/04/2023 10:15:44.732,1736,-0.787
03/04/2023 10:15:44.788,1736,-0.787
03/04/2023 10:15:44.844,1740,-0.787
03/04/2023 10:15:44.900,1743,-0.787
03/04/2023 10:15:44.956,1753,-0.787
03/04/2023 10:15:45.012,1812,-0.787
03/04/2023 10:15:45.068,1763,-0.787
03/04/2023 10:15:45.124,1085,-0.787
03/04/2023 10:15:45.180,912,-0.787
03/04/2023 10:15:45.236,841,-0.787
03/04/2023 10:15:45.292,807,-0.787
03/04/2023 10:15:45.348,805,-0.787
03/04/2023 10:15:45.404,805,-0.787
03/04/2023 10:15:45.460,805,-0.787
03/04/2023 10:15:45.516,806,-0.787
03/04/2023 10:15:45.572,1487,-0.787
03/04/2023 10:15:45.628,1695,-0.787
03/04/2023 10:15:45.684,1800,-0.787
03/04/2023 10:15:45.740,1809,-0.787
03/04/2023 10:15:45.796,1808,-0.787
03/04/2023 10:15:45.852,1805,-0.787
03/04/2023 10:15:45.908,1803,-0.787
03/04/2023 10:15:45.964,1804,-0.787
03/04/2023 10:15:46.020,1812,1.519
03/04/2023 10:15:46.076,1757,1.519
03/04/2023 10:15:46.132,1083,1.519
03/04/2023 10:15:46.188,913,1.519
03/04/2023 10:15:46.244,817,1.519
03/04/2023 10:15:46.300,810,1.519
03/04/2023 10:15:46.356,808,1.519
03/04/2023 10:15:46.412,807,1.519
03/04/2023 10:15:46.468,808,1.519
03/04/2023 10:15:46.524,943,1.519
03/04/2023 10:15:46.580,1502,1.519
03/04/2023 10:15:46.636,1721,1.519
03/04/2023 10:15:46.692,1836,1.519
03/04/2023 10:15:46.748,1849,1.519
03/04/2023 10:15:46.804,1875,1.519
03/04/2023 10:15:46.860,1891,1.519
03/04/2023 10:15:46.916,1906,1.519
03/04/2023 10:15:46.972,1931,1.519
03/04/2023 10:15:47.028,1874,1.519
03/04/2023 10:15:47.084,1147,1.519
03/04/2023 10:15:47.140,949,1.519
03/04/2023 10:15:47.196,861,1.519
03/04/2023 10:15:47.252,821,1.519
03/04/2023 10:15:47.308,819,1.519
03/04/2023 10:15:47.364,822,1.519
03/04/2023 10:15:47.420,824,1.519
03/04/2023 10:15:47.476,825,1.519
03/04/2023 10:15:47.532,1604,1.519
03/04/2023 10:15:47.588,1856,1.519
03/04/2023 10:15:47.644,1992,1.519
03/04/2023 10:15:47.700,2002,1.519
03/04/2023 10:15:47.756,1999,1.519
03/04/2023 10:15:47.812,1988,1.519
03/04/2023 10:15:47.868,1982,1.519
03/04/2023 10:15:47.924,1975,1.519
03/04/2023 10:15:47.980,1915,1.519
03/04/2023 10:15:48.036,1497,1.519
03/04/2023 10:15:48.092,964,1.519
03/04/2023 10:15:48.148,869,1.519
03/04/2023 10:15:48.204,821,1.519
03/04/2023 10:15:48.260,816,1.519
03/04/2023 10:15:48.316,814,1.519
03/04/2023 10:15:48.372,813,1.519
03/04/2023 10:15:48.428,813,1.519
03/04/2023 10:15:48.484,1533,1.519
03/04/2023 10:15:48.540,1755,1.519
03/04/2023 10:15:48.596,1834,1.519
03/04/2023 10:15:48.652,1863,1.519
03/04/2023 10:15:48.708,1862,1.519
03/04/2023 10:15:48.764,1864,1.519
03/04/2023 10:15:48.820,1868,1.519
03/04/2023 10:15:48.876,1874,1.519
03/04/2023 10:15:48.932,1812,1.519
03/04/2023 10:15:48.988,1416,1.519
03/04/2023 10:15:49.044,923,1.519
03/04/2023 10:15:49.100,843,1.519
03/04/2023 10:15:49.156,814,1.519
03/04/2023 10:15:49.212,802,1.519
03/04/2023 10:15:49.268,801,1.519
